2016-09-09 17:43:42 status installed apt-show-versions:all 0.22.3
2016-09-09 17:43:42 configure python-markupsafe:amd64 0.18-1build2 <none>
2016-09-09 17:43:42 status unpacked python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:42 status half-configured python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:43 status installed python-markupsafe:amd64 0.18-1build2
2016-09-09 17:43:43 configure python-mako:all 0.9.1-1 <none>
2016-09-09 17:43:43 status unpacked python-mako:all 0.9.1-1
2016-09-09 17:43:43 status half-configured python-mako:all 0.9.1-1
2016-09-09 17:43:43 status installed python-mako:all 0.9.1-1
2016-09-09 17:43:43 configure python-catcher:all 0.1.7 <none>
2016-09-09 17:43:43 status unpacked python-catcher:all 0.1.7
2016-09-09 17:43:43 status half-configured python-catcher:all 0.1.7
2016-09-09 17:43:43 status installed python-catcher:all 0.1.7
2016-09-09 17:43:43 configure python-exconsole:all 0.1.5 <none>
2016-09-09 17:43:43 status unpacked python-exconsole:all 0.1.5
2016-09-09 17:43:43 status half-configured python-exconsole:all 0.1.5
2016-09-09 17:43:43 status installed python-exconsole:all 0.1.5
2016-09-09 17:43:43 configure python-ldap:amd64 2.4.10-1build1 <none>
2016-09-09 17:43:43 status unpacked python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:43 status half-configured python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:43 status installed python-ldap:amd64 2.4.10-1build1
2016-09-09 17:43:43 configure ajenti:all 1.2.23.8 <none>
2016-09-09 17:43:43 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:43 status triggers-pending ureadahead:amd64 0.100.0-16
2016-09-09 17:43:43 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:43 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:43 status unpacked ajenti:all 1.2.23.8
2016-09-09 17:43:43 status half-configured ajenti:all 1.2.23.8
2016-09-09 17:43:45 status triggers-awaited ajenti:all 1.2.23.8
2016-09-09 17:43:45 configure python-gi:amd64 3.12.0-1ubuntu1 <none>
2016-09-09 17:43:45 status unpacked python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:45 status half-configured python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:46 status installed python-gi:amd64 3.12.0-1ubuntu1
2016-09-09 17:43:46 trigproc libc-bin:amd64 2.19-0ubuntu6.9 <none>
2016-09-09 17:43:46 status half-configured libc-bin:amd64 2.19-0ubuntu6.9
2016-09-09 17:43:46 status installed libc-bin:amd64 2.19-0ubuntu6.9
2016-09-09 17:43:46 trigproc python-support:all 1.0.15 <none>
2016-09-09 17:43:46 status half-configured python-support:all 1.0.15
2016-09-09 17:43:46 status installed python-support:all 1.0.15
2016-09-09 17:43:46 trigproc ureadahead:amd64 0.100.0-16 <none>
2016-09-09 17:43:46 status half-configured ureadahead:amd64 0.100.0-16
2016-09-09 17:43:46 status installed ajenti:all 1.2.23.8
2016-09-09 17:43:46 status installed ureadahead:amd64 0.100.0-16
